*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BusBoard
*Date=23:02:02
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;;45.085;-9.36;0;Bottom;Copper Fill32
107;;;42.9006;-39.3828;0;Bottom;Copper Fill9
108;;;90.7161;-20.3328;0;Bottom;Copper Fill136
109;;3 mm [THT];201.803;-19.5201;-90;Bottom;LED7
110;;;121.145;-18.8342;0;Bottom;Copper Fill131
111;;;34.9504;-10.5284;0;Bottom;Copper Fill51
112;;;184.645;-18.8342;0;Bottom;Copper Fill223
113;;THT;74.2244;-9.487;-90;Bottom;J7
114;;3 mm [THT];171.323;-19.5201;-90;Bottom;LED3
115;;;187.325;-9.36;0;Bottom;Copper Fill41
116;;;263.385;-20.3328;0;Bottom;Copper Fill89
117;;;154.229;-9.36;0;Bottom;Copper Fill198
118;;;41.6814;-19.5835;0;Bottom;Copper Fill153
119;;;138.989;-38.57;0;Bottom;Copper Fill10
120;;3 mm [THT];13.8434;-19.5201;-90;Bottom;LED19
121;;;182.194;-41.7196;0;Bottom;Copper Fill169
122;;;296.469;-9.36;0;Bottom;Copper Fill207
123;;THT;310.444;-9.487;-90;Bottom;J20
124;;;172.085;-9.36;0;Bottom;Copper Fill40
125;;;40.3098;-8.1535;0;Bottom;Copper Fill141
126;;;201.23;-15.7802;0;Bottom;TXT5
127;;;174.549;-38.57;0;Bottom;Copper Fill184
128;;THT;185.984;-9.487;-90;Bottom;J16
129;;;279.728;-15.7802;0;Bottom;TXT5
130;;THT;161.854;-38.443;90;Bottom;PI
131;;THT;231.704;-9.487;-90;Bottom;J17
132;;3 mm [THT];232.283;-19.5201;-90;Bottom;LED9
133;;;119.024;-8.1535;0;Bottom;Copper Fill121
134;;;88.5698;-8.1535;0;Bottom;Copper Fill129
135;;3 mm [THT];59.5634;-19.5201;-90;Bottom;LED17
136;;;121.145;-20.3328;0;Bottom;Copper Fill230
137;;;187.249;-9.36;0;Bottom;Copper Fill200
138;;;72.1614;-19.5835;0;Bottom;Copper Fill144
139;;;199.517;-34.8235;0;Bottom;Copper Fill219
140;;;161.544;-25.0064;0;Bottom;Copper Fill209
141;;;298.552;-43.7135;0;Bottom;Copper Fill74
142;;;179.629;-42.3546;0;Bottom;Copper Fill167
143;;3 mm [THT];186.563;-19.5201;-90;Bottom;LED4
144;;THT;13.2644;-9.487;-90;Bottom;J2
145;;;14.605;-9.36;0;Bottom;Copper Fill30
146;;3 mm [THT];217.043;-19.5201;-90;Bottom;LED8
147;;;230.365;-20.3328;0;Bottom;Copper Fill102
148;;;244.953;-35.0562;0;Bottom;IMG1
149;;;161.948;-26.0151;0;Bottom;TXT8
150;;;264.802;-3.49901;0;Bottom;TXT6
151;;;90.7161;-20.3328;0;Bottom;Copper Fill234
152;;;278.625;-18.8342;0;Bottom;Copper Fill87
153;;;309.105;-18.8342;0;Bottom;Copper Fill79
154;;;164.389;-38.57;0;Bottom;Copper Fill180
155;;;75.565;-9.36;0;Bottom;Copper Fill34
156;;;161.849;-38.57;0;Bottom;Copper Fill19
157;;;270.002;-35.265;0;Bottom;IMG2
158;;;297.675;-44.5644;0;Bottom;Copper Fill72
159;;;206.243;-36.8077;0;Bottom;TXT10
160;;;159.309;-38.57;0;Bottom;Copper Fill18
161;;;249.824;-3.49901;0;Bottom;TXT6
162;;;45.0088;-9.36;0;Bottom;Copper Fill191
163;;3 mm [THT];92.5834;-19.5201;-90;Bottom;LED15
164;;;137.964;-15.7802;0;Bottom;TXT5
165;;;277.876;-19.5835;0;Bottom;Copper Fill88
166;;;141.529;-38.57;0;Bottom;Copper Fill11
167;;;121.145;-20.3328;0;Bottom;Copper Fill130
168;;;30.9597;-35.0314;-90;Bottom;TXT9
169;;THT;295.204;-9.487;-90;Bottom;J21
170;;;271.17;-10.5284;0;Bottom;Copper Fill66
171;;THT;198.684;-36.03;180;Bottom;J23
172;;;255.93;-10.503;0;Bottom;Copper Fill65
173;;;182.169;-38.57;0;Bottom;Copper Fill27
174;;;11.9761;-18.8342;0;Bottom;Copper Fill158
175;;;105.905;-18.8342;0;Bottom;Copper Fill134
176;;THT;152.964;-9.487;-90;Bottom;J11
177;;;141.529;-41.7196;0;Bottom;Copper Fill168
178;;;105.156;-19.5835;0;Bottom;Copper Fill135
179;;THT;28.5044;-9.487;-90;Bottom;J3
180;;;151.625;-18.8342;0;Bottom;Copper Fill227
181;;;217.729;-9.36;0;Bottom;Copper Fill202
182;;;144.069;-38.57;0;Bottom;Copper Fill12
183;;;27.2161;-20.3328;0;Bottom;Copper Fill242
184;;;42.0524;-34.6394;-90;Bottom;TXT9
185;;;70.7898;-8.1535;0;Bottom;Copper Fill139
186;;;174.549;-38.57;0;Bottom;Copper Fill24
187;;;215.125;-18.8342;0;Bottom;Copper Fill221
188;;;57.6961;-20.3328;0;Bottom;Copper Fill146
189;;;151.625;-18.8342;0;Bottom;Copper Fill123
190;;3 mm [THT];29.0834;-19.5201;-90;Bottom;LED20
191;;;231.698;-15.7802;0;Bottom;TXT5
192;;;29.7688;-9.36;0;Bottom;Copper Fill190
193;;;248.145;-20.3328;0;Bottom;Copper Fill92
